zip,type,decommissioned,primary_city,state,county,timezone,country,latitude,longitude,irs_estimated_population
501,UNIQUE,0,Holtsville,NY,Suffolk County,America/New_York,US,40.81,-73.04,562
544,UNIQUE,0,Holtsville,NY,Suffolk County,America/New_York,US,40.81,-73.04,0
601,STANDARD,0,Adjuntas,PR,Adjuntas Municipio,America/Puerto_Rico,US,18.16,-66.72,0
602,STANDARD,0,Aguada,PR,Aguada Municipio,America/Puerto_Rico,US,18.38,-67.18,0
603,STANDARD,0,Aguadilla,PR,Aguadilla Municipio,America/Puerto_Rico,US,18.43,-67.15,0
604,PO BOX,0,Aguadilla,PR,,America/Puerto_Rico,US,18.43,-67.15,0
605,PO BOX,0,Aguadilla,PR,,America/Puerto_Rico,US,18.43,-67.15,0
606,STANDARD,0,Maricao,PR,Maricao Municipio,America/Puerto_Rico,US,18.18,-66.98,0
610,STANDARD,0,Anasco,PR,Anasco Municipio,America/Puerto_Rico,US,18.28,-67.14,0
611,PO BOX,0,Angeles,PR,,America/Puerto_Rico,US,18.28,-66.79,0
612,STANDARD,0,Arecibo,PR,Arecibo Municipio,America/Puerto_Rico,US,18.45,-66.73,0
613,PO BOX,0,Arecibo,PR,,America/Puerto_Rico,US,18.45,-66.73,0
614,PO BOX,0,Arecibo,PR,,America/Puerto_Rico,US,18.45,-66.73,0
616,STANDARD,0,Bajadero,PR,Arecibo Municipio,America/Puerto_Rico,US,18.42,-66.67,0
617,STANDARD,0,Barceloneta,PR,Barceloneta Municipio,America/Puerto_Rico,US,18.45,-66.56,0
622,STANDARD,0,Boqueron,PR,Cabo Rojo Municipio,America/Puerto_Rico,US,17.99,-67.15,0
623,STANDARD,0,Cabo Rojo,PR,Cabo Rojo Municipio,America/Puerto_Rico,US,18.08,-67.14,0
624,STANDARD,0,Penuelas,PR,Penuelas Municipio,America/Puerto_Rico,US,18.06,-66.72,0
627,STANDARD,0,Camuy,PR,Camuy Municipio,America/Puerto_Rico,US,18.48,-66.84,0
631,PO BOX,0,Castaner,PR,Lares Municipio,America/Puerto_Rico,US,18.19,-66.82,0
636,PO BOX,0,Rosario,PR,,America/Puerto_Rico,US,18.15,-67.06,0
637,STANDARD,0,Sabana Grande,PR,Sabana Grande Municipio,America/Puerto_Rico,US,18.08,-66.96,0
638,STANDARD,0,Ciales,PR,Ciales Municipio,America/Puerto_Rico,US,18.33,-66.47,0
641,STANDARD,0,Utuado,PR,Utuado Municipio,America/Puerto_Rico,US,18.27,-66.7,0
646,STANDARD,0,Dorado,PR,Dorado Municipio,America/Puerto_Rico,US,18.47,-66.27,0
647,STANDARD,0,Ensenada,PR,Guanica Municipio,America/Puerto_Rico,US,17.96,-66.94,0
650,STANDARD,0,Florida,PR,Florida Municipio,America/Puerto_Rico,US,18.36,-66.56,0
652,STANDARD,0,Garrochales,PR,Arecibo Municipio,America/Puerto_Rico,US,18.45,-66.6,0
653,STANDARD,0,Guanica,PR,Guanica Municipio,America/Puerto_Rico,US,17.99,-66.89,0
656,STANDARD,0,Guayanilla,PR,Guayanilla Municipio,America/Puerto_Rico,US,18.02,-66.79,0
659,STANDARD,0,Hatillo,PR,Hatillo Municipio,America/Puerto_Rico,US,18.48,-66.82,0
660,STANDARD,0,Hormigueros,PR,Hormigueros Municipio,America/Puerto_Rico,US,18.14,-67.12,0
662,STANDARD,0,Isabela,PR,Isabela Municipio,America/Puerto_Rico,US,18.5,-67.02,0
664,STANDARD,0,Jayuya,PR,Jayuya Municipio,America/Puerto_Rico,US,18.22,-66.59,0
667,STANDARD,0,Lajas,PR,Lajas Municipio,America/Puerto_Rico,US,18.04,-67.06,0
669,STANDARD,0,Lares,PR,Lares Municipio,America/Puerto_Rico,US,18.29,-66.88,0
670,STANDARD,0,Las Marias,PR,Las Marias Municipio,America/Puerto_Rico,US,18.27,-67.06,0
674,STANDARD,0,Manati,PR,Manati Municipio,America/Puerto_Rico,US,18.43,-66.48,0
676,STANDARD,0,Moca,PR,Moca Municipio,America/Puerto_Rico,US,18.39,-67.11,0
677,STANDARD,0,Rincon,PR,Rincon Municipio,America/Puerto_Rico,US,18.34,-67.25,0
678,STANDARD,0,Quebradillas,PR,Quebradillas Municipio,America/Puerto_Rico,US,18.47,-66.93,0
680,STANDARD,0,Mayaguez,PR,Mayaguez Municipio,America/Puerto_Rico,US,18.2,-67.14,0
681,PO BOX,0,Mayaguez,PR,,America/Puerto_Rico,US,18.2,-67.14,0
682,STANDARD,0,Mayaguez,PR,Mayaguez Municipio,America/Puerto_Rico,US,18.22,-67.16,0
683,STANDARD,0,San German,PR,San German Municipio,America/Puerto_Rico,US,18.08,-67.04,0
685,STANDARD,0,San Sebastian,PR,San Sebastian Municipio,America/Puerto_Rico,US,18.33,-66.99,0
687,STANDARD,0,Morovis,PR,Morovis Municipio,America/Puerto_Rico,US,18.32,-66.4,0
688,STANDARD,0,Sabana Hoyos,PR,Arecibo Municipio,America/Puerto_Rico,US,18.38,-66.62,0
690,STANDARD,0,San Antonio,PR,Aguadilla Municipio,America/Puerto_Rico,US,18.49,-67.09,0
692,STANDARD,0,Vega Alta,PR,Vega Alta Municipio,America/Puerto_Rico,US,18.41,-66.32,0
693,STANDARD,0,Vega Baja,PR,Vega Baja Municipio,America/Puerto_Rico,US,18.44,-66.39,0
694,PO BOX,0,Vega Baja,PR,Vega Baja Municipio,America/Puerto_Rico,US,18.48,-66.39,0
698,STANDARD,0,Yauco,PR,Yauco Municipio,America/Puerto_Rico,US,18.03,-66.86,0
703,STANDARD,0,Aguas Buenas,PR,Aguas Buenas Municipio,America/Puerto_Rico,US,18.25,-66.1,0
704,STANDARD,0,Aguirre,PR,Salinas Municipio,America/Puerto_Rico,US,17.96,-66.22,0
705,STANDARD,0,Aibonito,PR,Aibonito Municipio,America/Puerto_Rico,US,18.14,-66.26,0
707,STANDARD,0,Maunabo,PR,Maunabo Municipio,America/Puerto_Rico,US,18,-65.9,0
714,STANDARD,0,Arroyo,PR,Arroyo Municipio,America/Puerto_Rico,US,17.97,-66.06,0
715,STANDARD,0,Mercedita,PR,Ponce Municipio,America/Puerto_Rico,US,18.01,-66.56,0
716,STANDARD,0,Ponce,PR,Ponce Municipio,America/Puerto_Rico,US,17.98,-66.6,0
717,STANDARD,0,Ponce,PR,Ponce Municipio,America/Puerto_Rico,US,18,-66.61,0
718,STANDARD,0,Naguabo,PR,Naguabo Municipio,America/Puerto_Rico,US,18.21,-65.73,0
719,STANDARD,0,Naranjito,PR,Naranjito Municipio,America/Puerto_Rico,US,18.3,-66.24,0
720,STANDARD,0,Orocovis,PR,Orocovis Municipio,America/Puerto_Rico,US,18.22,-66.39,0
721,PO BOX,0,Palmer,PR,,America/Puerto_Rico,US,18.37,-65.77,0
723,STANDARD,0,Patillas,PR,Patillas Municipio,America/Puerto_Rico,US,18,-66.01,0
725,STANDARD,0,Caguas,PR,Caguas Municipio,America/Puerto_Rico,US,18.23,-66.03,0
726,PO BOX,0,Caguas,PR,,America/Puerto_Rico,US,18.23,-66.03,0
727,STANDARD,0,Caguas,PR,Caguas Municipio,America/Puerto_Rico,US,18.22,-66.07,0
728,STANDARD,0,Ponce,PR,Ponce Municipio,America/Puerto_Rico,US,17.99,-66.66,0
729,STANDARD,0,Canovanas,PR,Canovanas Municipio,America/Puerto_Rico,US,18.37,-65.9,0
730,STANDARD,0,Ponce,PR,Ponce Municipio,America/Puerto_Rico,US,18.03,-66.62,0
731,STANDARD,0,Ponce,PR,Ponce Municipio,America/Puerto_Rico,US,18.11,-66.63,0
732,PO BOX,0,Ponce,PR,,America/Puerto_Rico,US,17.98,-66.6,0
733,PO BOX,0,Ponce,PR,,America/Puerto_Rico,US,17.98,-66.6,0
734,PO BOX,0,Ponce,PR,,America/Puerto_Rico,US,17.98,-66.6,0
735,STANDARD,0,Ceiba,PR,Ceiba Municipio,America/Puerto_Rico,US,18.25,-65.68,0
736,STANDARD,0,Cayey,PR,Cayey Municipio,America/Puerto_Rico,US,18.11,-66.16,0
737,PO BOX,0,Cayey,PR,,America/Puerto_Rico,US,18.11,-66.16,0
738,STANDARD,0,Fajardo,PR,Fajardo Municipio,America/Puerto_Rico,US,18.33,-65.65,0
739,STANDARD,0,Cidra,PR,Cidra Municipio,America/Puerto_Rico,US,18.17,-66.15,0
740,STANDARD,0,Puerto Real,PR,Fajardo Municipio,America/Puerto_Rico,US,18.33,-65.63,0
741,STANDARD,0,Punta Santiago,PR,Humacao Municipio,America/Puerto_Rico,US,18.16,-65.75,0
742,STANDARD,0,Roosevelt Roads,PR,,America/Puerto_Rico,US,18.27,-65.65,0
744,PO BOX,0,Rio Blanco,PR,,America/Puerto_Rico,US,18.22,-65.79,0
745,STANDARD,0,Rio Grande,PR,Rio Grande Municipio,America/Puerto_Rico,US,18.38,-65.83,0
751,STANDARD,0,Salinas,PR,Salinas Municipio,America/Puerto_Rico,US,17.97,-66.29,0
754,STANDARD,0,San Lorenzo,PR,San Lorenzo Municipio,America/Puerto_Rico,US,18.19,-65.96,0
757,STANDARD,0,Santa Isabel,PR,Santa Isabel Municipio,America/Puerto_Rico,US,17.97,-66.4,0
765,STANDARD,0,Vieques,PR,Vieques Municipio,America/Puerto_Rico,US,18.13,-65.44,0
